id,function_ref,method_name,step_order,object_chain,method_call,method_parameters,object_type,return_type,method_description,timestamp,function_name
1,1,catia,1,,catia(co_initialise),['co_initialise'],class,,"Create an `ABQAnalysisCase` instance from a COM object using the `__class__` method. Params: `com_object` (a COM interface representing an analysis case). Returns: None, but initializes the `ABQAnalysisCase` with properties and methods of the provided COM object. For integrating CATIA's analysis cases into Python scripts for automation or further manipulation within PyCATIA.",2025-10-09 20:43:39,Initialize_CATIA_app
2,1,start_workbench,2,caa,caa.start_workbench(iworkbench_id),['iworkbench_id'],method,,"Start the specified workbench in CATIA. Params: `iworkbench_id` (str) - ID of the workbench to activate. Returns: None. For activating a specific workbench within CATIA, allowing users to switch contexts or tools as needed for their workflow.",2025-10-09 20:43:39,Initialize_CATIA_app
3,1,add,3,documents,documents.add(i_analysis_type),['i_analysis_type'],method,<class 'pycatia.abq_automation_interfaces.abq_analysis_case.ABQAnalysisCase'>,"Add an analysis type to the ABQAnalysisCases collection in CATIA. Params: `self` (NO_ANNOTATION instance), `i_analysis_type` (string specifying analysis type). Returns a new ABQAnalysisCase object representing the added case. For integrating specific analysis types into existing automation workflows within CATIA's Analysis module.",2025-10-09 20:43:39,Initialize_CATIA_app
4,2,add,1,hybrid_bodies,hybrid_bodies.add(i_analysis_type),['i_analysis_type'],method,<class 'pycatia.abq_automation_interfaces.abq_analysis_case.ABQAnalysisCase'>,"Add an analysis type to the ABQAnalysisCases collection in CATIA. Params: `self` (NO_ANNOTATION instance), `i_analysis_type` (string specifying analysis type). Returns a new ABQAnalysisCase object representing the added case. For integrating specific analysis types into existing automation workflows within CATIA's Analysis module.",2025-10-09 20:43:39,Setup_Hybrid_Shape_Environment
5,2,name,2,geom_set,geom_set.name = 'Geometrical Set.1',"[""'Geometrical Set.1'""]",property,,"`name()` method in the `ABQAnalysisCase` class retrieves or sets the name of an analysis case within CATIA's simulation environment. Params: None. Returns: The current name as a string, or updates the name if provided with a new one. For managing and identifying specific analysis cases efficiently during simulations.",2025-10-09 20:43:39,Setup_Hybrid_Shape_Environment
6,4,add_new_direction_by_coord,1,hybrid_shape_factory,"hybrid_shape_factory.add_new_direction_by_coord(i_x, i_y, i_z)","['i_x', 'i_y', 'i_z']",method,<class 'pycatia.hybrid_shape_interfaces.hybrid_shape_direction.HybridShapeDirection'>,"Create a new direction in CATIA's HybridShapeFactory using specified coordinates. Params: `i_x`, `i_y`, `i_z` (floats for x, y, z coordinates). Returns a `HybridShapeDirection` object representing the defined direction. For defining custom directions in hybrid shape modeling within CATIA.",2025-10-09 20:43:39,Define_Reference_Axes
7,4,add_new_direction_by_coord,2,hybrid_shape_factory,"hybrid_shape_factory.add_new_direction_by_coord(i_x, i_y, i_z)","['i_x', 'i_y', 'i_z']",method,<class 'pycatia.hybrid_shape_interfaces.hybrid_shape_direction.HybridShapeDirection'>,"Create a new direction in CATIA's HybridShapeFactory using specified coordinates. Params: `i_x`, `i_y`, `i_z` (floats for x, y, z coordinates). Returns a `HybridShapeDirection` object representing the defined direction. For defining custom directions in hybrid shape modeling within CATIA.",2025-10-09 20:43:39,Define_Reference_Axes
8,4,add_new_direction_by_coord,3,hybrid_shape_factory,"hybrid_shape_factory.add_new_direction_by_coord(i_x, i_y, i_z)","['i_x', 'i_y', 'i_z']",method,<class 'pycatia.hybrid_shape_interfaces.hybrid_shape_direction.HybridShapeDirection'>,"Create a new direction in CATIA's HybridShapeFactory using specified coordinates. Params: `i_x`, `i_y`, `i_z` (floats for x, y, z coordinates). Returns a `HybridShapeDirection` object representing the defined direction. For defining custom directions in hybrid shape modeling within CATIA.",2025-10-09 20:43:39,Define_Reference_Axes
9,4,name,4,x_axis,x_axis.name = 'X Axis',"[""'X Axis'""]",property,,"`name()` method in the `ABQAnalysisCase` class retrieves or sets the name of an analysis case within CATIA's simulation environment. Params: None. Returns: The current name as a string, or updates the name if provided with a new one. For managing and identifying specific analysis cases efficiently during simulations.",2025-10-09 20:43:39,Define_Reference_Axes
10,4,name,5,y_axis,y_axis.name = 'Y Axis',"[""'Y Axis'""]",property,,"`name()` method in the `ABQAnalysisCase` class retrieves or sets the name of an analysis case within CATIA's simulation environment. Params: None. Returns: The current name as a string, or updates the name if provided with a new one. For managing and identifying specific analysis cases efficiently during simulations.",2025-10-09 20:43:39,Define_Reference_Axes
11,4,name,6,z_axis,z_axis.name = 'Z Axis',"[""'Z Axis'""]",property,,"`name()` method in the `ABQAnalysisCase` class retrieves or sets the name of an analysis case within CATIA's simulation environment. Params: None. Returns: The current name as a string, or updates the name if provided with a new one. For managing and identifying specific analysis cases efficiently during simulations.",2025-10-09 20:43:39,Define_Reference_Axes
12,4,append_hybrid_shape,7,geom_set,geom_set.append_hybrid_shape(i_hybrid_shape),['i_hybrid_shape'],method,,"Append a `HybridShape` to the current `NO_ANNOTATION` instance of `HybridShape3DCurveOffset`. Params: `i_hybrid_shape` (the `HybridShape` object to be appended). Returns: None. For integrating additional hybrid shapes into an existing 3D curve offset annotation, modifying its geometric composition without altering original properties.",2025-10-09 20:43:39,Define_Reference_Axes
13,4,append_hybrid_shape,8,geom_set,geom_set.append_hybrid_shape(i_hybrid_shape),['i_hybrid_shape'],method,,"Append a `HybridShape` to the current `NO_ANNOTATION` instance of `HybridShape3DCurveOffset`. Params: `i_hybrid_shape` (the `HybridShape` object to be appended). Returns: None. For integrating additional hybrid shapes into an existing 3D curve offset annotation, modifying its geometric composition without altering original properties.",2025-10-09 20:43:39,Define_Reference_Axes
14,4,append_hybrid_shape,9,geom_set,geom_set.append_hybrid_shape(i_hybrid_shape),['i_hybrid_shape'],method,,"Append a `HybridShape` to the current `NO_ANNOTATION` instance of `HybridShape3DCurveOffset`. Params: `i_hybrid_shape` (the `HybridShape` object to be appended). Returns: None. For integrating additional hybrid shapes into an existing 3D curve offset annotation, modifying its geometric composition without altering original properties.",2025-10-09 20:43:39,Define_Reference_Axes
15,4,update,10,part,part.update(),[],method,,"Update the `NO_ANNOTATION` instance within the `AnalysisAdaptivityManager`. Params: None. Returns: None. This method refreshes or modifies the current state of a `NO_ANNOTATION` object, ensuring it reflects any recent changes in the analysis environment. For use cases where annotation data needs to be synchronized with ongoing analyses without altering input parameters.",2025-10-09 20:43:39,Define_Reference_Axes
16,5,add_new_plane_offset,1,hybrid_shape_factory,"hybrid_shape_factory.add_new_plane_offset(i_plane, i_offset, i_orientation)","['i_plane', 'i_offset', 'i_orientation']",method,<class 'pycatia.hybrid_shape_interfaces.hybrid_shape_plane_offset.HybridShapePlaneOffset'>,"Create a new plane offset in CATIA. Params: `i_plane` (Reference to the base plane), `i_offset` (float, distance from the base plane), `i_orientation` (bool, defines orientation direction). Returns: HybridShapePlaneOffset object representing the created plane offset. For defining additional planes parallel or antiparallel to an existing plane in hybrid shape modeling.",2025-10-09 20:43:39,Create_Construction_Plane
17,5,name,2,plane1,plane1.name = 'Plane.1',"[""'Plane.1'""]",property,,"`name()` method in the `ABQAnalysisCase` class retrieves or sets the name of an analysis case within CATIA's simulation environment. Params: None. Returns: The current name as a string, or updates the name if provided with a new one. For managing and identifying specific analysis cases efficiently during simulations.",2025-10-09 20:43:39,Create_Construction_Plane
