function_id,function_name,function_description,category,timestamp
1,Initialize_CATIA_app,Initialize CATIA environment and enter GSD workbench,Initialisation,2025-10-09 20:43:39
2,Setup_Hybrid_Shape_Environment,Set up hybrid shape design environment,Initialisation,2025-10-09 20:43:39
3,Define_Reference_Planes,Define reference planes,Reference_Definition,2025-10-09 20:43:39
4,Define_Reference_Axes,Define reference coordinate axes,Reference_Definition,2025-10-09 20:43:39
5,Create_Construction_Plane,Create construction plane for wing geometry,Reference_Definition,2025-10-09 20:43:39
6,Create_Reference_Line,Create reference line for sweep direction,Reference_Definition,2025-10-09 20:43:39
7,Create_Angled_Line,Create angled line for wing sweep control,Curve_Creation,2025-10-09 20:43:39
8,Create_Upper_Loft_Surface,Create upper wing loft surface,Surface_Creation,2025-10-09 20:43:39
9,Create_Lower_Loft_Surface,Create wing surface using multi-section loft,Surface_Creation,2025-10-09 20:43:39
10,Add_Thickness,Add thickness to create solid wing structure,Feature_Operations,2025-10-09 20:43:39
11,Mirror_Wing,Mirror wing to create full wingspan,Feature_Operations,2025-10-09 20:43:39
12,Control_Element_Visibility,Control element visibility for cleaner design view,Display_Control,2025-10-09 20:43:39
13,Create_Support_Extrude,Create support extrusions for loft scaffolding,Surface_Creation,2025-10-09 21:27:57
14,Join_Surfaces,Join surfaces with specified parameters,Surface_Creation,2025-10-09 21:27:57
15,Extrude_Spline,Extrude spline to create surface scaffold,Surface_Creation,2025-10-09 21:44:27
16,Create_Spline,Create splines for wing structure,Curve_Creation,2025-10-09 21:44:27
17,Create_Point,Create reference points for wing geometry,Construction_Geometry,2025-10-09 21:44:27
